Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Rs highest degree,Respondents sex,Rs occupational prestige score (2010)
39,10,12,12,Not applicable,High school,Female,48
57,14,12,12,14,High school,Male,53
63,15,6,12,16,Junior college,Female,64
75,8,Don't know,6,Not applicable,Lt high school,Female,0
32,16,14,14,16,Bachelor,Male,57
46,13,3,Not applicable,Not applicable,High school,Male,42
41,12,Not applicable,10,Not applicable,High school,Male,45
No answer,14,4,4,17,Junior college,Female,47
49,16,12,12,Not applicable,Bachelor,Female,54
65,13,Not applicable,12,11,Junior college,Male,48
59,14,8,8,12,Junior college,Female,47
47,12,12,12,Not applicable,High school,Male,35
27,13,12,8,Not applicable,High school,Female,55
57,12,12,12,10,High school,Female,48
74,20,Not applicable,14,12,Graduate,Female,61
51,18,20,16,18,Graduate,Female,51
44,20,18,16,16,Graduate,Male,58
46,16,12,12,Not applicable,Bachelor,Female,39
42,12,Don't know,12,12,High school,Female,25
65,16,14,14,Not applicable,Bachelor,Female,47
36,16,16,16,18,Bachelor,Male,50
80,18,Not applicable,14,Not applicable,Graduate,Female,74
32,16,12,14,16,Bachelor,Female,49
89 or older,5,6,Don't know,Not applicable,Lt high school,Male,37
40,16,16,14,No answer,Bachelor,Female,59
88,12,12,12,Not applicable,Lt high school,Female,47
59,16,12,12,16,Bachelor,Female,31
55,18,12,16,16,Graduate,Female,0
31,14,12,12,Not applicable,High school,Female,38
31,18,12,12,12,Graduate,Male,26
35,16,18,Don't know,13,Bachelor,Female,39
32,17,16,12,Not applicable,Bachelor,Female,39
48,12,3,12,14,High school,Female,26
24,12,Don't know,Don't know,9,High school,Female,33
22,12,16,15,Not applicable,High school,Male,38
37,16,0,0,Not applicable,High school,Female,25
34,16,Not applicable,14,Not applicable,Bachelor,Female,64
89 or older,12,8,8,Not applicable,High school,Female,45
55,0,Not applicable,8,Not applicable,Lt high school,Female,48
46,12,Not applicable,14,Not applicable,High school,Male,35
29,17,13,11,14,Bachelor,Female,53
83,12,Don't know,Don't know,Not applicable,Lt high school,Female,48
33,16,12,16,Not applicable,Bachelor,Female,61
46,18,Not applicable,16,Not applicable,Graduate,Female,39
19,13,7,12,Not applicable,High school,Male,0
65,19,12,18,Not applicable,Bachelor,Male,58
37,16,2,6,12,High school,Female,60
64,12,12,11,14,High school,Female,33
22,14,16,12,13,Junior college,Female,16
28,16,18,Not applicable,15,Bachelor,Male,47
24,17,20,17,Not applicable,Bachelor,Female,64
43,15,Not applicable,15,16,Junior college,Male,48
32,16,Not applicable,12,Not applicable,Bachelor,Male,28
76,16,8,12,18,Bachelor,Female,44
21,14,13,16,Not applicable,High school,Female,23
48,14,14,3,13,Junior college,Female,48
76,15,12,12,15,High school,Male,48
55,16,9,10,16,Bachelor,Female,53
70,14,Not applicable,12,Not applicable,High school,Female,47
66,18,16,15,Not applicable,Graduate,Female,48
37,19,3,6,Not applicable,Graduate,Female,54
70,16,16,16,16,Graduate,Female,52
43,18,17,15,18,Graduate,Male,47
19,9,Not applicable,10,Not applicable,Lt high school,Female,0
70,15,12,10,17,High school,Male,59
40,18,16,16,12,Graduate,Female,38
59,20,7,7,17,Bachelor,Male,45
70,12,7,7,16,High school,Female,38
31,13,16,16,Not applicable,High school,Male,31
51,18,18,16,Not applicable,Graduate,Female,64
32,15,12,12,14,High school,Female,30
60,12,12,12,11,High school,Female,45
27,12,12,16,Not applicable,High school,Male,45
89 or older,16,6,4,Not applicable,Bachelor,Male,62
50,11,12,Not applicable,Not applicable,High school,Female,64
44,16,12,12,Not applicable,Bachelor,Female,25
85,12,Not applicable,3,Not applicable,High school,Female,45
33,12,6,9,12,Lt high school,Male,25
31,14,Not applicable,14,Not applicable,High school,Female,31
46,16,Not applicable,12,12,Bachelor,Female,46
72,16,15,16,15,Graduate,Male,69
50,20,16,18,Not applicable,Graduate,Female,46
66,20,20,14,16,Graduate,Male,53
35,17,17,16,Not applicable,Bachelor,Female,64
35,11,Don't know,12,Not applicable,Lt high school,Female,39
33,13,Not applicable,12,Not applicable,High school,Female,22
66,6,Not applicable,Don't know,Not applicable,Lt high school,Female,25
53,10,Not applicable,8,10,Lt high school,Male,24
37,16,Don't know,Don't know,12,Bachelor,Female,36
33,12,12,16,16,High school,Male,32
28,16,16,16,16,Bachelor,Male,63
30,16,14,12,16,Bachelor,Female,55
37,11,11,12,14,High school,Male,44
38,16,12,12,16,High school,Male,55
84,14,11,12,12,High school,Male,32
66,17,17,17,16,Graduate,Male,44
29,16,16,16,16,Bachelor,Female,65
39,17,17,17,10,Graduate,Male,51
33,16,16,14,16,Bachelor,Female,60
68,18,12,12,Not applicable,Graduate,Female,63
70,16,16,16,16,Bachelor,Female,43
50,16,12,4,16,Bachelor,Male,74
54,17,17,14,18,Bachelor,Male,48
45,16,Not applicable,12,17,Bachelor,Male,45
48,14,20,14,16,High school,Female,49
73,16,12,12,18,Bachelor,Male,47
77,18,11,Don't know,16,Bachelor,Female,64
59,16,8,11,Not applicable,Bachelor,Female,53
72,12,12,12,12,High school,Male,48
68,18,6,12,12,Bachelor,Male,70
60,12,16,14,16,High school,Female,47
63,12,12,12,12,High school,Male,38
45,14,12,Not applicable,Not applicable,High school,Male,35
35,13,18,14,16,High school,Female,31
22,12,12,16,Not applicable,High school,Female,31
36,12,Not applicable,12,15,High school,Female,27
76,13,3,Not applicable,Not applicable,High school,Female,34
61,12,16,12,11,High school,Female,38
56,12,12,12,Not applicable,High school,Female,48
26,12,Not applicable,12,Not applicable,High school,Female,31
59,13,Not applicable,9,Not applicable,High school,Male,35
55,12,Don't know,12,Not applicable,High school,Male,61
57,18,20,13,12,Graduate,Male,53
59,14,14,14,16,High school,Female,60
33,14,Don't know,8,14,High school,Female,74
75,2,Don't know,0,Not applicable,Lt high school,Female,24
61,18,12,12,18,Bachelor,Male,53
39,13,12,14,16,High school,Female,49
38,12,6,9,12,High school,Female,38
49,17,12,17,Not applicable,Graduate,Female,75
71,16,12,14,18,Bachelor,Male,66
47,16,16,14,Not applicable,Bachelor,Male,66
52,13,0,0,18,High school,Male,42
35,17,Not applicable,7,Not applicable,Junior college,Female,64
54,12,Don't know,Don't know,12,High school,Female,0
39,12,Don't know,12,11,High school,Female,48
70,11,12,Don't know,Not applicable,Lt high school,Male,36
78,12,3,3,Not applicable,Lt high school,Female,48
74,20,15,14,Not applicable,Graduate,Female,59
65,16,14,16,16,Bachelor,Male,67
61,13,16,12,Not applicable,High school,Male,43
53,16,12,12,16,Bachelor,Female,53
21,12,6,12,Not applicable,High school,Female,31
41,17,20,16,18,Bachelor,Female,64
62,14,10,9,12,Junior college,Female,28
71,16,16,16,12,Bachelor,Male,64
89 or older,16,Don't know,Don't know,Not applicable,Bachelor,Male,32
66,17,16,12,16,Bachelor,Male,60
28,16,16,12,Not applicable,Graduate,Male,58
85,17,Not applicable,16,Not applicable,Graduate,Female,61
70,12,Not applicable,12,16,High school,Male,31
29,16,12,12,Not applicable,Bachelor,Female,60
39,16,17,17,15,Bachelor,Male,53
28,16,13,12,Not applicable,High school,Male,38
74,16,16,12,Not applicable,Bachelor,Female,55
53,16,11,11,16,Bachelor,Female,44
66,20,13,12,Not applicable,Graduate,Male,69
67,16,16,16,16,Bachelor,Male,45
No answer,16,16,Not applicable,14,Bachelor,Female,75
28,20,16,16,Not applicable,Graduate,Female,73
23,16,16,16,Not applicable,Bachelor,Female,39
37,20,16,16,19,Graduate,Male,45
27,12,12,10,Not applicable,High school,Male,35
32,14,Not applicable,14,Not applicable,Junior college,Female,38
40,12,Not applicable,12,Not applicable,High school,Female,47
22,16,Not applicable,14,Not applicable,Bachelor,Female,0
38,14,Not applicable,12,Not applicable,High school,Male,24
45,15,12,14,Not applicable,High school,Female,47
63,12,16,12,Not applicable,High school,Male,60
30,20,Not applicable,13,Not applicable,Graduate,Female,62
25,12,Not applicable,12,Not applicable,High school,Male,47
44,12,Don't know,Don't know,Not applicable,High school,Female,45
56,12,12,12,Not applicable,High school,Male,33
45,12,11,12,12,High school,Female,24
27,7,Don't know,Don't know,Not applicable,Lt high school,Female,48
53,17,7,5,9,Bachelor,Male,40
66,15,Not applicable,8,Not applicable,Junior college,Female,46
48,18,Not applicable,16,Not applicable,Bachelor,Female,45
50,14,14,16,13,High school,Female,48
18,11,12,8,Not applicable,Lt high school,Female,41
51,16,16,16,Not applicable,Bachelor,Male,53
63,13,15,12,Not applicable,High school,Female,69
57,12,Not applicable,12,14,High school,Female,24
68,16,16,12,Not applicable,Bachelor,Male,66
64,14,12,7,8,High school,Male,49
26,12,Not applicable,Don't know,Not applicable,High school,Male,27
58,16,12,14,14,Junior college,Female,65
53,19,7,14,16,Graduate,Female,58
28,12,5,9,Not applicable,High school,Male,38
